+-----------+-------+
| parameter | value |
+-----------+-------+
+-----------+-------+

+-----------------+------+------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------+
|       name      | bits |                                                             CM disc factorization                                                              |                       max conductor                        |
|      B-163      | 163  |                                [[1433, 1], [1922119, 1], [961548010411020239, 1], [3031770092835576249319, 1]]                                 |                             1                              |
|      K-163      | 163  |                                         [[7, 1], [45641, 2], [82153, 2], [8610311, 2], [56498081, 2]]                                          |                 1824026374634505274957943                  |
|    sect163k1    | 163  |                                         [[7, 1], [45641, 2], [82153, 2], [8610311, 2], [56498081, 2]]                                          |                 1824026374634505274957943                  |
|    sect163r2    | 163  |                                [[1433, 1], [1922119, 1], [961548010411020239, 1], [3031770092835576249319, 1]]                                 |                             1                              |
|      bn190      | 190  |                               [[3, 1], [17, 2], [73, 2], [1409, 2], [1609, 2], [1747, 2], [6044763071857841, 2]]                               |               29710571568175225982381195267                |
|      P-192      | 192  |                           [[5, 1], [11, 1], [31, 1], [14140398275856956083603613626459809774163796198179979683, 1]]                            |                             1                              |
| brainpoolP192r1 | 192  |                [[3, 1], [17, 1], [19, 1], [47, 1], [103, 1], [11689, 1], [243799360126346034321229132107730224949211782787, 1]]                |                             1                              |
| brainpoolP192t1 | 192  |                [[3, 1], [17, 1], [19, 1], [47, 1], [103, 1], [11689, 1], [243799360126346034321229132107730224949211782787, 1]]                |                             1                              |
|    prime192v1   | 192  |                           [[5, 1], [11, 1], [31, 1], [14140398275856956083603613626459809774163796198179979683, 1]]                            |                             1                              |
|    prime192v2   | 192  |                                [[5, 1], [4057, 1], [419449725550667957405314053496256277237954799793346743, 1]]                                |                             1                              |
|    prime192v3   | 192  |                           [[5, 1], [1626789962620489, 1], [244172182430537981, 1], [11781200773121954720938411, 1]]                            |                             1                              |
|    secp192k1    | 192  |                                       [[3, 1], [31, 4], [4931, 2], [54059, 2], [136625246667181297, 2]]                                        |               34999138709524326971400529393                |
|    secp192r1    | 192  |                           [[5, 1], [11, 1], [31, 1], [14140398275856956083603613626459809774163796198179979683, 1]]                            |                             1                              |
|    Curve22103   | 218  |                [[2, 4], [3271, 1], [5051, 1], [22567, 1], [1206445781, 1], [1492435424745706630493331727547708983415210791, 1]]                |                             4                              |
|      M-221      | 219  |                        [[2, 4], [565665984379, 1], [504842927415879955942747, 1], [255061103803346185973548526989, 1]]                         |                             4                              |
|      E-222      | 220  |        [[2, 2], [17, 1], [53, 1], [937, 1], [12569, 1], [7544066725621, 1], [5576396455796813, 1], [14803246073281859780125586623, 1]]         |                             2                              |
|      bn222      | 222  |                                [[3, 1], [11, 2], [17, 2], [641, 2], [59112643721, 2], [274259776182599849, 2]]                                 |             1943310227059934888513759537528843             |
|    Curve4417    | 224  | [[2, 2], [5, 2], [7, 2], [11, 1], [17, 1], [12547, 1], [38501, 1], [620911, 1], [726279131, 1], [2160554959932381472700461096432834186843, 1]] |                             70                             |
|     Fp224BN     | 224  |                                           [[3, 1], [11, 2], [472026987139517227858374168885097, 2]]                                            |             5192296858534689506442115857736067             |
|      P-224      | 224  |            [[3, 3], [29, 1], [79, 1], [7523, 1], [40927, 1], [11549194661, 1], [388425074903852603481408727235725774844022299, 1]]             |                             3                              |
| brainpoolP224r1 | 224  |                   [[3, 1], [5, 1], [443, 1], [262401365399, 1], [40712130504760273201793920999767203487306743499252457, 1]]                    |                             1                              |
| brainpoolP224t1 | 224  |                   [[3, 1], [5, 1], [443, 1], [262401365399, 1], [40712130504760273201793920999767203487306743499252457, 1]]                    |                             1                              |
|    secp224r1    | 224  |            [[3, 3], [29, 1], [79, 1], [7523, 1], [40927, 1], [11549194661, 1], [388425074903852603481408727235725774844022299, 1]]             |                             3                              |
|    secp224k1    | 225  |                                 [[3, 9], [61, 2], [1327, 2], [19434391, 2], [94446893, 2], [181254072977, 2]]                                  |             2181384198222797443972610423981457             |
|      K-233      | 232  |                                       [[7, 1], [5610641, 2], [85310626991, 2], [150532234816721999, 2]]                                        |            72051847988516734697809995873370769             |
|    sect233k1    | 232  |                                       [[7, 1], [5610641, 2], [85310626991, 2], [150532234816721999, 2]]                                        |            72051847988516734697809995873370769             |
|      B-233      | 233  |                  [[7, 1], [607, 1], [221912282681, 1], [706663193591, 1], [18695432581586757253171803892087928378926801, 1]]                   |                             1                              |
|    sect233r1    | 233  |                  [[7, 1], [607, 1], [221912282681, 1], [706663193591, 1], [18695432581586757253171803892087928378926801, 1]]                   |                             1                              |
|    sect239k1    | 238  |                                       [[7, 1], [59273, 2], [253691807, 2], [1278210672543041199217, 2]]                                        |            19220549079445282347323267698248487             |
|    prime239v1   | 239  |                        [[19, 1], [1380679, 1], [124908789194886801034086201815134362461193030922907910558459228967, 1]]                        |                             1                              |
|    prime239v2   | 239  |                 [[5, 2], [11, 1], [5830789, 1], [464884940180033218755101, 1], [3180932506301999288542159937315847303889, 1]]                  |                             5                              |
|    prime239v3   | 239  |                            [[5, 1], [647706840915934251811102421343398523106901000963707528939493620503845087, 1]]                             |                             1                              |
|       mnt4      | 240  |                                          [[163, 1], [300661, 2], [552627375925425925254608620789, 2]]                                          |            166153499473114484112975882535041529            |
|      mnt5/1     | 240  |                           [[5, 2], [29, 2], [149, 2], [211, 1], [44189, 2], [8131722787, 2], [21402203220232229, 2]]                           |            166153499473114484112975882535035935            |
|      mnt5/2     | 240  |                           [[5, 2], [29, 2], [149, 2], [211, 1], [44189, 2], [8131722787, 2], [21402203220232229, 2]]                           |            166153499473114484112975882535035935            |
|      mnt5/3     | 240  |                           [[5, 2], [29, 2], [149, 2], [211, 1], [44189, 2], [8131722787, 2], [21402203220232229, 2]]                           |            166153499473114484112975882535035935            |
|    Curve1174    | 249  |    [[2, 2], [5, 1], [7, 1], [293, 1], [33997, 1], [12320708804681, 1], [4473682817603206637471, 1], [161567415114024992333870349255799, 1]]    |                             2                              |
|    Curve25519   | 253  |                   [[2, 4], [16451, 1], [8312956054562778877481, 1], [83326725728999296701078628838522133333655224556987, 1]]                   |                             4                              |
|     Ed25519     | 253  |                   [[2, 4], [16451, 1], [8312956054562778877481, 1], [83326725728999296701078628838522133333655224556987, 1]]                   |                             4                              |
|     Fp254BNa    | 254  |                                  [[3, 1], [14657, 2], [388273, 2], [7215801394651, 2], [3083242039316611, 2]]                                  |          126611883464401272127243293666542878721           |
|     Fp254BNb    | 254  |                              [[3, 3], [19, 2], [1019771, 2], [1302347, 2], [983685833987, 2], [1740482054401, 2]]                              |          129607518034317099886745702645398241283           |
|      bn254      | 254  |                              [[3, 3], [19, 2], [1019771, 2], [1302347, 2], [983685833987, 2], [1740482054401, 2]]                              |          129607518034317099886745702645398241283           |
|    BLS12-381    | 255  |     [[3, 1], [11, 2], [31, 2], [503, 2], [10177, 2], [64223, 2], [859267, 2], [52437899, 2], [24305087161, 2], [18815978399361992833, 2]]      | 2310096550715768212670172227226928237551693238409523516757 |
|     FRP256v1    | 256  |              [[27748561, 1], [649570254101, 1], [1624594239517, 1], [1424961889141606181, 1], [10462814633518742617783767031, 1]]              |                             1                              |
|     Fp256BN     | 256  |                              [[3, 1], [17, 4], [19, 2], [2753, 2], [34980353, 2], [643513410908646721169009, 2]]                               |          340282366920936614181528116269263699971           |
|      P-256      | 256  |              [[3, 1], [5, 1], [456597257999, 1], [1428624589419343516204097, 1], [46523541035814968339936406074986559003387, 1]]               |                             1                              |
| brainpoolP256r1 | 256  |               [[5, 2], [1867, 1], [11616307, 1], [66891682553, 1], [5991180651865208777371442029237375648904065304322611579, 1]]               |                             5                              |
| brainpoolP256t1 | 256  |               [[5, 2], [1867, 1], [11616307, 1], [66891682553, 1], [5991180651865208777371442029237375648904065304322611579, 1]]               |                             5                              |
|     gost256     | 256  |                          [[3, 3], [5, 1], [11, 2], [43, 2], [61, 1], [130729, 2], [31342854443506236575670807197, 2]]                          |           5814239006315534931045933045806333847            |
|    prime256v1   | 256  |              [[3, 1], [5, 1], [456597257999, 1], [1428624589419343516204097, 1], [46523541035814968339936406074986559003387, 1]]               |                             1                              |
|    secp256k1    | 256  |                                  [[3, 3], [79, 2], [349, 2], [2698097, 2], [1359580455984873519493666411, 2]]                                  |          303414439467246543595250775667605759171           |
|    secp256r1    | 256  |              [[3, 1], [5, 1], [456597257999, 1], [1428624589419343516204097, 1], [46523541035814968339936406074986559003387, 1]]               |                             1                              |
|      K-283      | 281  |                                                                  Not computed                                                                  |                        Not computed                        |
|    sect283k1    | 281  |                                                                  Not computed                                                                  |                        Not computed                        |
|      B-283      | 282  |                                                                  Not computed                                                                  |                        Not computed                        |
|    sect283r1    | 282  |                                                                  Not computed                                                                  |                        Not computed                        |
|      bn286      | 286  |                                                                  Not computed                                                                  |                        Not computed                        |
|    BLS12-446    | 299  |                                                                  Not computed                                                                  |                        Not computed                        |
|    BLS12-455    | 305  |                                                                  Not computed                                                                  |                        Not computed                        |
|      bn318      | 318  |                                                                  Not computed                                                                  |                        Not computed                        |
| brainpoolP320r1 | 320  |                                                                  Not computed                                                                  |                        Not computed                        |
| brainpoolP320t1 | 320  |                                                                  Not computed                                                                  |                        Not computed                        |
|      bn350      | 350  |                                                                  Not computed                                                                  |                        Not computed                        |
|    Curve67254   | 380  |                                                                  Not computed                                                                  |                        Not computed                        |
|      M-383      | 381  |                                                                  Not computed                                                                  |                        Not computed                        |
|      bn382      | 382  |                                                                  Not computed                                                                  |                        Not computed                        |
|    BLS24-477    | 383  |                                                                  Not computed                                                                  |                        Not computed                        |
|     Fp384BN     | 384  |                                                                  Not computed                                                                  |                        Not computed                        |
|      P-384      | 384  |                                                                  Not computed                                                                  |                        Not computed                        |
| brainpoolP384r1 | 384  |                                                                  Not computed                                                                  |                        Not computed                        |
| brainpoolP384t1 | 384  |                                                                  Not computed                                                                  |                        Not computed                        |
|    secp384r1    | 384  |                                                                  Not computed                                                                  |                        Not computed                        |
|      K-409      | 407  |                                                                  Not computed                                                                  |                        Not computed                        |
|    sect409k1    | 407  |                                                                  Not computed                                                                  |                        Not computed                        |
|      B-409      | 409  |                                                                  Not computed                                                                  |                        Not computed                        |
|    sect409r1    | 409  |                                                                  Not computed                                                                  |                        Not computed                        |
|      bn414      | 414  |                                                                  Not computed                                                                  |                        Not computed                        |
|    BLS12-638    | 427  |                                                                  Not computed                                                                  |                        Not computed                        |
|      Ed448      | 446  |                                                                  Not computed                                                                  |                        Not computed                        |
|      bn446      | 446  |                                                                  Not computed                                                                  |                        Not computed                        |
|      bn478      | 478  |                                                                  Not computed                                                                  |                        Not computed                        |
|      M-511      | 509  |                                                                  Not computed                                                                  |                        Not computed                        |
|      bn510      | 510  |                                                                  Not computed                                                                  |                        Not computed                        |
|     gost512     | 511  |                                                                  Not computed                                                                  |                        Not computed                        |
|     Fp512BN     | 512  |                                                                  Not computed                                                                  |                        Not computed                        |
| brainpoolP512r1 | 512  |                                                                  Not computed                                                                  |                        Not computed                        |
| brainpoolP512t1 | 512  |                                                                  Not computed                                                                  |                        Not computed                        |
|      P-521      | 521  |                                                                  Not computed                                                                  |                        Not computed                        |
|    secp521r1    | 521  |                                                                  Not computed                                                                  |                        Not computed                        |
|      bn542      | 542  |                                                                  Not computed                                                                  |                        Not computed                        |
|      B-571      | 570  |                                                                  Not computed                                                                  |                        Not computed                        |
|      K-571      | 570  |                                                                  Not computed                                                                  |                        Not computed                        |
|    sect571k1    | 570  |                                                                  Not computed                                                                  |                        Not computed                        |
|    sect571r1    | 570  |                                                                  Not computed                                                                  |                        Not computed                        |
|      bn574      | 574  |                                                                  Not computed                                                                  |                        Not computed                        |
|      bn606      | 606  |                                                                  Not computed                                                                  |                        Not computed                        |
|      bn638      | 638  |                                                                  Not computed                                                                  |                        Not computed                        |
+-----------------+------+------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------+
